"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","DBH1_Paternal","DBH2_Paternal","DBH3_Paternal","DBH4_Paternal","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0126","UHA-0010","UHA-0266","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",630.247578471618,FALSE
"UHA-0127","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,FALSE,"704-46","549-82",304.266359030868,FALSE
"UHA-0128","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,FALSE,"704-46","549-82",304.266359030868,FALSE
"UHA-0129","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,FALSE,"704-46","549-82",304.266359030868,FALSE
"UHA-0130","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,FALSE,"704-46","549-82",304.266359030868,FALSE
"UHA-0131","UHA-0010","UHA-0263","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063389,41.811663,"704-46*11",61.1,NA,NA,NA,TRUE,"704-46","704-46",639.597044707787,FALSE
"UHA-0132","UHA-0010","UHA-0263","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063389,41.811663,"704-46*11",61.1,NA,NA,NA,TRUE,"704-46","704-46",639.597044707787,FALSE
"UHA-0133","UHA-0010","UHA-0011","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.068655,41.815796,"704-46*7",82.8,NA,NA,NA,TRUE,"704-46","704-46",134.455199446643,FALSE
"UHA-0134","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,FALSE,"704-46","549-82",304.266359030868,FALSE
"UHA-0135","UHA-0010","UHA-0257","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,FALSE,"704-46","549-82",312.811867693626,FALSE
"UHA-0136","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,FALSE,"704-46","549-82",304.266359030868,FALSE
"UHA-0137","UHA-0010","UHA-0015","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12",55.2,NA,NA,NA,TRUE,"704-46","704-46",644.875357093583,FALSE
"UHA-0138","UHA-0010","UHA-0293","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.0641549,41.8132325,NA,74.6,NA,NA,NA,NA,"704-46",NA,459.202841610982,FALSE
"UHA-0139","UHA-0010","UHA-0260","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,FALSE,"704-46","570-78",320.609176296008,FALSE
"UHA-0140","UHA-0010","UHA-0266","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",630.247578471618,FALSE
"UHA-0141","UHA-0010","UHA-0257","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,FALSE,"704-46","549-82",312.811867693626,FALSE
"UHA-0142","UHA-0010","UHA-0210","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus × deamii",-88.067528,41.816267,"616-30*3",85.6,NA,NA,NA,FALSE,"704-46","616-30",35.1980490295443,TRUE
"UHA-0143","UHA-0010","UHA-0258","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,FALSE,"704-46","549-82",304.266359030868,FALSE
"UHA-0144","UHA-0010","UHA-0265","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.063121,41.811813,"704-46*16",52.5,NA,NA,NA,TRUE,"704-46","704-46",637.63705868461,FALSE
"UHA-0146","UHA-0010","UHA-0260","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,FALSE,"704-46","570-78",320.609176296008,FALSE
"UHA-0147","UHA-0010","UHA-0259","Quercus muehlenbergii",-88.067413,41.816572,"704-46*8","Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0148","UHA-0012","UHA-0476","Quercus muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus muehlenbergii",-88.0714096,41.8145509,"122-88*1",68.7,37.2,NA,NA,FALSE,"704-46","122-88",545.628375494699,FALSE
