Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0111,13, 4.27674494394128E-0005, 1.29764869574708E-0006,UHA-0257,13,13,0, 1.21465046082890E+0001,UHA-0351,13,13,2,-4.40982428588894E-0001, 0.00000000000000E+0000,,13,2, 2.62244680169227E+0000, 2.62244680169227E+0000,+,
UHA-0112,12, 3.30326688363181E-0005, 5.31462369408990E-0003,UHA-0257,13,12,5,-1.61532480990911E+0001,UHA-0265,13,12,0, 1.38360764646810E+0001, 3.24984034081845E+0000,+,12,5, 1.17255385990898E+0001, 4.21526868580001E+0000,*,
UHA-0113,13, 1.37515870216328E-0004, 2.08166979949625E-0005,UHA-0257,13,13,1, 4.44343278011841E+0000,UHA-0260,13,13,2,-1.33970164257233E+0000, 0.00000000000000E+0000,,13,2, 3.96497987896128E+0000, 3.59481740897974E+0000,*,
UHA-0114,13, 3.36506533296943E-0005, 1.11681357372409E-0007,UHA-0257,13,13,2,-1.59533023098469E+0000,UHA-0260,13,13,3,-3.84106856503679E+0000, 0.00000000000000E+0000,,13,5,-1.79982895118204E+0000, 0.00000000000000E+0000,,
UHA-0115,13, 2.16225874936472E-0004, 1.91197212971599E-0005,UHA-0351,13,13,1, 5.15021000299040E+0000,UHA-0303,13,13,4,-1.06182844892544E+0001, 0.00000000000000E+0000,,13,4,-5.74973009783829E+0000, 0.00000000000000E+0000,,
UHA-0116,13, 3.15049325252519E-0005, 4.67683786748610E-0006,UHA-0351,13,13,2, 1.85519921910224E-0001,UHA-0260,13,13,1, 6.60710124473783E+0000, 6.60710124473783E+0000,*,13,3, 8.24516669152418E+0000, 8.24516669152418E+0000,*,
UHA-0118,13, 5.96009027076146E-0005, 1.14497584947662E-0006,UHA-0351,13,13,1, 7.13286815788028E+0000,UHA-0260,13,13,1, 5.35052163646062E+0000, 0.00000000000000E+0000,,13,2, 7.40156622575421E+0000, 3.42637274141317E+0000,*,
UHA-0119,13, 2.26660135550786E-0004, 1.40055908560580E-0005,UHA-0351,13,13,1, 6.43924146538173E+0000,UHA-0257,13,13,2, 1.15307844060413E+0000, 1.15307844060413E+0000,+,13,3, 7.68596145343988E-0001, 7.68596145343988E-0001,+,
UHA-0120,13, 1.03967188768779E-0005, 4.98109290276429E-0007,UHA-0351,13,13,1, 7.83536790705584E+0000,UHA-0257,13,13,2,-1.46229884699724E-0001, 0.00000000000000E+0000,,13,4,-3.39592628057702E+0000, 0.00000000000000E+0000,,
UHA-0121,13, 1.38847591682504E-0005, 3.25241941472203E-0006,UHA-0351,13,13,1, 9.63365883753220E+0000,UHA-0257,13,13,2,-5.83320232109732E-0001, 0.00000000000000E+0000,,13,3, 2.82195761929659E-0001, 2.82195761929659E-0001,+,
UHA-0122,13, 2.02463080169934E-0004, 3.13614628298745E-0005,UHA-0351,13,13,1, 9.36034435365847E+0000,UHA-0257,13,13,2,-6.56198628038725E-0001, 0.00000000000000E+0000,,13,3,-1.52065394469881E-0001, 0.00000000000000E+0000,,
UHA-0123,13, 3.44546968453932E-0005, 5.56282696562065E-0005,UHA-0010,12,12,1, 4.17536666453052E+0000,UHA-0258,12,12,2, 2.37269841808625E+0000, 0.00000000000000E+0000,,12,2, 5.85163424372601E+0000, 5.85163424372601E+0000,*,
UHA-0124,12, 1.71419969927942E-0003, 1.27805398680339E-0004,UHA-0010,12,11,0, 6.32293417918451E+0000,UHA-0258,12,11,1, 3.66160922574544E+0000, 2.92385348981694E-0001,-,11,1, 4.80196500576378E+0000, 4.80196500576378E+0000,*,
UHA-0125,13, 1.09440681663114E-0004, 1.33880912619730E-0005,UHA-0010,12,12,1, 3.67304553975902E+0000,UHA-0016,11,11,3,-8.68050007406911E+0000, 0.00000000000000E+0000,,11,4,-7.47481575199728E+0000, 0.00000000000000E+0000,,
UHA-0126,13, 3.87781840090153E-0005, 3.78163497807155E-0006,UHA-0010,12,12,1, 4.00530110829281E+0000,UHA-0266,12,12,2,-8.66703564582275E-0001, 0.00000000000000E+0000,,12,2, 4.03169926139325E+0000, 2.61188483623907E+0000,+,
UHA-0127,11, 1.42591199246951E-0004, 1.28850688592147E-0004,UHA-0010,12,10,1, 2.57775768900514E+0000,UHA-0258,12,11,3,-3.16004861899501E+0000, 0.00000000000000E+0000,,11,3,-6.21774881142051E-0001, 0.00000000000000E+0000,,
UHA-0128,13, 1.33689229371848E-0004, 4.26612216560326E-0005,UHA-0010,12,12,2,-3.79893981594754E+0000,UHA-0258,12,12,3,-3.08911845310230E+0000, 0.00000000000000E+0000,,12,3, 4.98784748019396E+0000, 4.98784748019396E+0000,*,
UHA-0129,12, 2.09216738365787E-0003, 3.66861931205557E-0005,UHA-0010,12,11,0, 7.27495835860033E+0000,UHA-0258,12,11,2, 4.84786733634007E-0001, 0.00000000000000E+0000,,11,2, 8.02813666345631E-0001, 8.02813666345631E-0001,+,
UHA-0130,13, 1.20375756340955E-0004, 1.73397408454814E-0004,UHA-0010,12,12,1, 5.25001451174862E+0000,UHA-0016,11,11,1, 1.05989576149027E+0000, 0.00000000000000E+0000,,11,2, 4.34164383808974E-0001, 4.34164383808974E-0001,+,
UHA-0131,13, 5.62543100199133E-0005, 3.33007826268824E-0006,UHA-0010,12,12,1, 3.21619147014649E+0000,UHA-0263,13,13,0, 1.00299821844563E+0001, 5.78453500681994E+0000,*,13,5,-6.89031614940612E+0000, 0.00000000000000E+0000,,
UHA-0132,13, 8.24233200391506E-0006, 7.54086018006094E-0007,UHA-0010,12,12,1, 3.45654016798215E+0000,UHA-0263,13,13,1, 6.93240368250409E+0000, 6.72350212271235E+0000,*,13,4,-9.70921124300056E-0001, 0.00000000000000E+0000,,
UHA-0133,13, 1.08642503305103E-0003, 2.17894254413283E-0004,UHA-0010,12,12,0, 9.63847236162205E+0000,UHA-0011,13,13,1, 2.01033583525443E+0000, 0.00000000000000E+0000,,13,1, 4.62427463221094E+0000, 3.61948625345237E+0000,*,
UHA-0134,12, 5.12016074289492E-0005, 6.74898861913878E-0006,UHA-0010,12,11,1, 4.40953032285489E+0000,UHA-0258,12,12,2, 8.59938379992261E-0001, 0.00000000000000E+0000,,12,2, 5.10738409098906E+0000, 5.00981576749713E+0000,*,
UHA-0135,13, 6.62942634287777E-0004, 5.42117346426908E-0005,UHA-0010,12,12,1, 3.43181761595633E+0000,UHA-0257,13,13,1, 3.33444127754218E+0000, 3.33444127754218E+0000,+,13,3, 4.88619886604312E-0001, 4.88619886604312E-0001,+,
UHA-0136,13, 2.34110662894164E-0004, 3.66861931205557E-0005,UHA-0010,12,12,1, 3.35792281134864E+0000,UHA-0258,12,12,3,-3.43224881361768E+0000, 0.00000000000000E+0000,,12,3, 1.24530343659604E-0001, 1.24530343659604E-0001,+,
UHA-0137,12, 5.10005786007379E-0004, 2.52340711059040E-0004,UHA-0010,12,12,1, 3.70209349292523E+0000,UHA-0015,13,12,1, 5.74642385699714E+0000, 0.00000000000000E+0000,,12,2, 3.29386693892732E+0000, 6.98027193854207E-0001,+,
UHA-0138,13, 3.23500453946568E-0005, 8.11740283194339E-0012,UHA-0010,12,12,0, 6.35495773756195E+0000,UHA-0293,12,12,3,-2.72420069381402E+0000, 0.00000000000000E+0000,,12,3,-2.31247180593715E-0001, 0.00000000000000E+0000,,
UHA-0139,13, 4.82644534317119E-0005, 4.51429815697741E-0006,UHA-0010,12,12,0, 1.02190433705196E+0001,UHA-0260,13,13,1, 5.69407110854444E+0000, 5.69407110854444E+0000,*,13,1, 6.78295355112237E+0000, 6.78295355112237E+0000,*,
UHA-0140,13, 2.42045359700178E-0005, 1.99793875605582E-0006,UHA-0010,12,12,1, 4.56651986782785E+0000,UHA-0266,12,12,4,-9.26009431840314E+0000, 0.00000000000000E+0000,,12,4,-6.30453528346890E+0000, 0.00000000000000E+0000,,
UHA-0141,13, 4.05360928612975E-0004, 1.06211153584079E-0006,UHA-0010,12,12,0, 7.81509302562562E+0000,UHA-0257,13,13,0, 7.00724871481421E+0000, 5.47986402565524E+0000,*,13,2, 2.98744108753808E+0000, 2.98744108753808E+0000,*,
UHA-0142,13, 6.09750261990084E-0005, 8.00155585653908E-0008,UHA-0010,12,12,0, 8.34215504122253E+0000,UHA-0210,12,12,4,-8.70159754449294E+0000, 0.00000000000000E+0000,,12,4,-7.21134326289987E+0000, 0.00000000000000E+0000,,
UHA-0143,13, 1.14223523389470E-0004, 3.45720288863111E-0005,UHA-0010,12,12,1, 4.01312392528754E+0000,UHA-0258,12,12,3,-3.87030652017976E+0000, 0.00000000000000E+0000,,12,3, 1.31300322982898E-0001, 1.31300322982898E-0001,+,
UHA-0144,13, 7.72730372927519E-0005, 1.54378640420990E-0006,UHA-0010,12,12,0, 9.79793097241904E+0000,UHA-0265,13,13,1, 7.87663974047078E+0000, 5.05956493426380E+0000,*,13,3,-3.66157191998625E-0001, 0.00000000000000E+0000,,
